"BUFБ2";"Профнастил оц. окр. 0.40; С8; 1500 зеленый 6005";"625";"625";"1205х1500";"1205х1500";"967.00";"RUB";"967.00";"RUB";"967.00";"RUB";"967.00";"RUB";"1";"1"
"AJVГЛВ";"Профнастил оц. окр. 0.40; С8; 1700 зеленый 6005";"625";"625";"1205х1700";"1205х1700";"1096.00";"RUB";"1096.00";"RUB";"1096.00";"RUB";"1096.00";"RUB";"1";"1"
"AJUГЛВ";"Профнастил оц. окр. 0.40; С8; 1900 зеленый 6005";"625";"625";"1205х1900";"1205х1900";"1225.00";"RUB";"1225.00";"RUB";"1225.00";"RUB";"1225.00";"RUB";"1";"1"
"A8QБ2";"Профнастил оц. окр. 0.40; С8; 2000 зеленый 6005";"625";"625";"1205х2000";"1200х2000";"1289.00";"RUB";"1289.00";"RUB";"1289.00";"RUB";"1284.00";"RUB";"1";"1"
"A8RБ2";"Профнастил оц. окр. 0.40; С8; 2500 зеленый 6005";"625";"625";"1205х2500";"1200х2500";"1612.00";"RUB";"1612.00";"RUB";"1612.00";"RUB";"1605.00";"RUB";"1";"1"
"A8SБ2";"Профнастил оц. окр. 0.40; С8; 3000 зеленый 6005";"625";"625";"1205х3000";"1200х3000";"1934.00";"RUB";"1934.00";"RUB";"1934.00";"RUB";"1926.00";"RUB";"1";"1"
"BDBБ2";"Профнастил оц. окр. 0.45; С8; 2000 зеленый 6005";"625";"625";"1205х2000";"1205х2000";"1369.00";"RUB";"1458.00";"RUB";"";"RUB";"";"RUB";"1";"1"
"BD3ГЛВ";"Профнастил оц. окр. 0.45; С8; 2500 зеленый 6005";"625";"625";"1205х2500";"1205х2500";"1711.00";"RUB";"1823.00";"RUB";"";"RUB";"";"RUB";"1";"1"
"BD4ГЛВ";"Профнастил оц. окр. 0.45; С8; 3000 зеленый 6005";"625";"625";"1205х3000";"1205х3000";"2053.00";"RUB";"2187.00";"RUB";"";"RUB";"";"RUB";"1";"1"
"BNTБ2";"Профнастил оц. окр. 0.40; С8; 1700 серый 7004";"625";"625";"1205х1700";"1205х1700";"1096.00";"RUB";"1096.00";"RUB";"1096.00";"RUB";"1096.00";"RUB";"1";"1"
"BNUБ2";"Профнастил оц. окр. 0.40; С8; 2000 серый 7004";"625";"625";"1205х2000";"1205х2000";"1289.00";"RUB";"1289.00";"RUB";"1289.00";"RUB";"1289.00";"RUB";"1";"1"
"BNVБ2";"Профнастил оц. окр. 0.40; С8; 2500 серый 7004";"625";"625";"1205х2500";"1205х2500";"1612.00";"RUB";"1612.00";"RUB";"1612.00";"RUB";"1612.00";"RUB";"1";"1"
"BNWБ2";"Профнастил оц. окр. 0.40; С8; 3000 серый 7004";"625";"625";"1205х3000";"1205х3000";"1934.00";"RUB";"1934.00";"RUB";"1934.00";"RUB";"1934.00";"RUB";"1";"1"
"BUGБ2";"Профнастил оц. окр. 0.40; С8; 1500 серый графит 7024";"625";"625";"1205х1500";"1205х1500";"967.00";"RUB";"967.00";"RUB";"";"RUB";"";"RUB";"1";"1"
"BFXБ2";"Профнастил оц. окр. 0.40; С8; 1700 серый графит 7024";"625";"625";"1205х1700";"1205х1700";"1096.00";"RUB";"1096.00";"RUB";"1096.00";"RUB";"1096.00";"RUB";"1";"1"
"BAKБ2";"Профнастил оц. окр. 0.45; С8; 2000 серый графит 7024";"625";"625";"1205х2000";"1205х2000";"1369.00";"RUB";"1458.00";"RUB";"1369.00";"RUB";"1458.00";"RUB";"1";"1"
"AMPГЛВ";"Профнастил оц. окр. 0.35; С8; 1700 шоколад 8017";"625";"625";"1205х1700";"1205х1700";"1031.00";"RUB";"1031.00";"RUB";"1031.00";"RUB";"1031.00";"RUB";"1";"1"
"AJXГЛВ";"Профнастил оц. окр. 0.35; С8; 1900 шоколад 8017";"625";"625";"1205х1900";"1205х1900";"1152.00";"RUB";"1152.00";"RUB";"1152.00";"RUB";"1152.00";"RUB";"1";"1"
"AFPГЛВ";"Профнастил оц. окр. 0.35; С8; 2000 шоколад 8017";"625";"625";"1205х2000";"1205х2000";"1212.00";"RUB";"1212.00";"RUB";"1212.00";"RUB";"1212.00";"RUB";"1";"1"
"B2ZБ2";"Профнастил оц. окр. 0.40; С8; 1500 шоколад 8017";"625";"625";"1205х1500";"1205х1500";"967.00";"RUB";"967.00";"RUB";"967.00";"RUB";"967.00";"RUB";"1";"1"
"AJYГЛВ";"Профнастил оц. окр. 0.40; С8; 1700 шоколад 8017";"625";"625";"1205х1700";"1205х1700";"1096.00";"RUB";"1096.00";"RUB";"1096.00";"RUB";"1096.00";"RUB";"1";"1"
"AJWГЛВ";"Профнастил оц. окр. 0.40; С8; 1900 шоколад 8017";"625";"625";"1205х1900";"1205х1900";"1225.00";"RUB";"1225.00";"RUB";"1225.00";"RUB";"1225.00";"RUB";"1";"1"
"A9IГЛВ";"Профнастил оц. окр. 0.40; С8; 2000 шоколад 8017";"625";"625";"1205х2000";"1200х2000";"1289.00";"RUB";"1289.00";"RUB";"1289.00";"RUB";"1284.00";"RUB";"1";"1"
"A9GГЛВ";"Профнастил оц. окр. 0.40; С8; 2500 шоколад 8017";"625";"625";"1205х2500";"1200х2500";"1612.00";"RUB";"1612.00";"RUB";"1612.00";"RUB";"1605.00";"RUB";"1";"1"
"A9HГЛВ";"Профнастил оц. окр. 0.40; С8; 3000 шоколад 8017";"625";"625";"1205х3000";"1200х3000";"1934.00";"RUB";"1934.00";"RUB";"1934.00";"RUB";"1926.00";"RUB";"1";"1"
"BD0ГЛВ";"Профнастил оц. окр. 0.45; С8; 2000 шоколад 8017";"625";"625";"1205х2000";"1205х2000";"1369.00";"RUB";"1458.00";"RUB";"";"RUB";"";"RUB";"1";"1"
"BD1ГЛВ";"Профнастил оц. окр. 0.45; С8; 2500 шоколад 8017";"625";"625";"1205х2500";"1205х2500";"1711.00";"RUB";"1823.00";"RUB";"";"RUB";"";"RUB";"1";"1"
"BD2ГЛВ";"Профнастил оц. окр. 0.45; С8; 3000 шоколад 8017";"625";"625";"1205х3000";"1205х3000";"2053.00";"RUB";"2187.00";"RUB";"";"RUB";"";"RUB";"1";"1"
"AN2Б2";"Профнастил оц. окр. 0.35; С8; 1700 белый 9003";"625";"625";"1205х1700";"1205х1700";"1031.00";"RUB";"1031.00";"RUB";"1031.00";"RUB";"1031.00";"RUB";"1";"1"
"AJZГЛВ";"Профнастил оц. окр. 0.35; С8; 1900 белый 9003";"625";"625";"1205х1900";"1205х1900";"1031.00";"RUB";"1031.00";"RUB";"1031.00";"RUB";"1031.00";"RUB";"1";"1"
"AFQГЛВ";"Профнастил оц. окр. 0.35; С8; 2000 белый 9003";"625";"625";"1205х2000";"1205х2000";"1212.00";"RUB";"1212.00";"RUB";"1212.00";"RUB";"1212.00";"RUB";"1";"1"
"BB3Б2";"Профнастил оц. окр. 0.35; С8 (некондиц.); 2000 белый 9003";"625";"625";"1205х2000";"1205х2000";"872.00";"RUB";"930.00";"RUB";"";"RUB";"";"RUB";"1";"1"
"BB8Б2";"Профнастил оц. окр. 0.35 Н1; С8 (некондиц.); 2000 белый 9003";"625";"625";"1205х2000";"1205х2000";"786.00";"RUB";"836.00";"RUB";"";"RUB";"";"RUB";"1";"1"
"AK1ГЛВ";"Профнастил оц. окр. 0.40; С8; 1700 белый 9003";"625";"625";"1205х1700";"1205х1700";"1096.00";"RUB";"1096.00";"RUB";"1096.00";"RUB";"1096.00";"RUB";"1";"1"
"AK0ГЛВ";"Профнастил оц. окр. 0.40; С8; 1900 белый 9003";"625";"625";"1205х1900";"1205х1900";"1095.00";"RUB";"1095.00";"RUB";"1095.00";"RUB";"1095.00";"RUB";"1";"1"
"A9LГЛВ";"Профнастил оц. окр. 0.40; С8; 2000 белый 9003";"625";"625";"1205х2000";"1200х2000";"1289.00";"RUB";"1289.00";"RUB";"1289.00";"RUB";"1284.00";"RUB";"1";"1"
"AC1ГЛВ";"Профнастил оц. окр. 0.40; С8; 2500 белый 9003";"625";"625";"1205х2500";"1200х2500";"1612.00";"RUB";"1612.00";"RUB";"1612.00";"RUB";"1605.00";"RUB";"1";"1"
"AC2ГЛВ";"Профнастил оц. окр. 0.40; С8; 3000 белый 9003";"625";"625";"1205х3000";"1200х3000";"1934.00";"RUB";"1934.00";"RUB";"1934.00";"RUB";"1926.00";"RUB";"1";"1"
"BCZГЛВ";"Профнастил оц. окр. 0.45; С8; 2000 белый 9003";"625";"625";"1205х2000";"1205х2000";"1369.00";"RUB";"1458.00";"RUB";"";"RUB";"";"RUB";"1";"1"
"BCTГЛВ";"Профнастил оц. окр. 0.45; С8; 2500 белый 9003";"625";"625";"1205х2500";"1205х2500";"1711.00";"RUB";"1823.00";"RUB";"";"RUB";"";"RUB";"1";"1"
"BCSГЛВ";"Профнастил оц. окр. 0.45; С8; 3000 белый 9003";"625";"625";"1205х3000";"1205х3000";"2053.00";"RUB";"2187.00";"RUB";"";"RUB";"";"RUB";"1";"1"
"BSSБ2";"Профнастил оц. окр. 0.50; С8; 2000 - Античный дуб";"625";"625";"1205х2000";"1205х2000";"2017.00";"RUB";"2150.00";"RUB";"2017.00";"RUB";"2150.00";"RUB";"1";"1"
"A93Б2";"Профнастил оц. окр. 0.40; СС10; 1500 красное вино 3005";"625";"625";"1164х1500";"1160х1500";"934.00";"RUB";"934.00";"RUB";"";"RUB";"";"RUB";"1";"1"
"94IБ2";"Профнастил оц. окр. 0.40; СС10; 2500 зеленый 6005";"625";"625";"1164х2500";"1164х2500";"1557.00";"RUB";"1557.00";"RUB";"1557.00";"RUB";"1557.00";"RUB";"1";"1"
"A8NГЛВ";"Профнастил оц. окр. 0.40; СС10; 6000 зеленый 6005";"625";"625";"1164х6000";"1164х6000";"3736.00";"RUB";"3736.00";"RUB";"";"RUB";"";"RUB";"1";"1"
"8HOГЛВ";"Профнастил оц. окр. 0.45; СС10; 2000 зеленый 6005";"625";"625";"1164х2000";"1164х2000";"1322.00";"RUB";"1408.00";"RUB";"";"RUB";"";"RUB";"1";"1"
"8MOГЛВ";"Профнастил оц. окр. 0.45; СС10; 2500 зеленый 6005";"625";"625";"1164х2500";"1164х2500";"1653.00";"RUB";"1761.00";"RUB";"";"RUB";"";"RUB";"1";"1"
"A8OГЛВ";"Профнастил оц. окр. 0.40; СС10; 6000 шоколад 8017";"625";"625";"1164х6000";"1164х6000";"3736.00";"RUB";"3736.00";"RUB";"";"RUB";"";"RUB";"1";"1"
"92TГЛВ";"Профнастил оц. окр. 0.45; СС10; 3000 шоколад 8017";"625";"625";"1164х3000";"1164х3000";"1983.00";"RUB";"2113.00";"RUB";"";"RUB";"";"RUB";"1";"1"
