Id(0) | Название(1) | Тип(2) | Сечение/Ячейка(3) | Диаметр(4) | Высота листа, рулона/длина хлыста C(5) | Высота листа, рулона/длина хлыста Т(6)| Ширина листа/длина рулона С(7) | Ширина листа/длина рулона Т(8) | Толщина(9) | Цвет/Покрытие(10) | Цена С(11) | Цена Т(12) | Наличие С(13) | Наличие Т(14) | Примечание(15)

Покрытие:
П-BNWБ2; Профнастил; С8; ; ; 3000.0; 3000.0; ; 1205.0; 0.40; серый 7004; 1934.0; 1934.0; 1; 1; ;
П-BUGБ2; Профнастил; С8; ; ; 1500.0; 1500.0; ; 1205.0; 0.40; серый графит 7024; 967.0; ; 1; 1; ;
П-BFXБ2; Профнастил; С8; ; ; 1700.0; 1700.0; ; 1205.0; 0.40; серый графит 7024; 1096.0; 1096.0; 1; 1; ;
П-BAKБ2; Профнастил; С8; ; ; 2000.0; 2000.0; ; 1205.0; 0.45; серый графит 7024; 1458.0; 1458.0; 1; 1; ;
П-AMPГЛВ; Профнастил; С8; ; ; 1700.0; 1700.0; ; 1205.0; 0.35; шоколад 8017; 1031.0; 1031.0; 1; 1; ;
П-AJXГЛВ; Профнастил; С8; ; ; 1900.0; 1900.0; ; 1205.0; 0.35; шоколад 8017; 1152.0; 1152.0; 1; 1; ;
П-AFPГЛВ; Профнастил; С8; ; ; 2000.0; 2000.0; ; 1205.0; 0.35; шоколад 8017; 1212.0; 1212.0; 1; 1; ;
П-B2ZБ2; Профнастил; С8; ; ; 1500.0; 1500.0; ; 1205.0; 0.40; шоколад 8017; 967.0; 967.0; 1; 1; ;
П-AJYГЛВ; Профнастил; С8; ; ; 1700.0; 1700.0; ; 1205.0; 0.40; шоколад 8017; 1096.0; 1096.0; 1; 1; ;
П-AJWГЛВ; Профнастил; С8; ; ; 1900.0; 1900.0; ; 1205.0; 0.40; шоколад 8017; 1225.0; 1225.0; 1; 1; ;
П-A9IГЛВ; Профнастил; С8; ; ; 2000.0; 2000.0; ; 1200.0; 0.40; шоколад 8017; 1289.0; 1284.0; 1; 1; ;
П-A9GГЛВ; Профнастил; С8; ; ; 2500.0; 2500.0; ; 1200.0; 0.40; шоколад 8017; 1612.0; 1605.0; 1; 1; ;
П-A9HГЛВ; Профнастил; С8; ; ; 3000.0; 3000.0; ; 1200.0; 0.40; шоколад 8017; 1934.0; 1926.0; 1; 1; ;
П-BD0ГЛВ; Профнастил; С8; ; ; 2000.0; 2000.0; ; 1205.0; 0.45; шоколад 8017; 1458.0; ; 1; 1; ;
П-BD1ГЛВ; Профнастил; С8; ; ; 2500.0; 2500.0; ; 1205.0; 0.45; шоколад 8017; 1823.0; ; 1; 1; ;
П-BD2ГЛВ; Профнастил; С8; ; ; 3000.0; 3000.0; ; 1205.0; 0.45; шоколад 8017; 2187.0; ; 1; 1; ;
П-AN2Б2; Профнастил; С8; ; ; 1700.0; 1700.0; ; 1205.0; 0.35; белый 9003; 1031.0; 1031.0; 1; 1; ;
П-AJZГЛВ; Профнастил; С8; ; ; 1900.0; 1900.0; ; 1205.0; 0.35; белый 9003; 1031.0; 1031.0; 1; 1; ;
П-AFQГЛВ; Профнастил; С8; ; ; 2000.0; 2000.0; ; 1205.0; 0.35; белый 9003; 1212.0; 1212.0; 1; 1; ;
П-BB3Б2; Профнастил; С8; ; ; 2000.0; 2000.0; ; 1205.0; 0.35; белый 9003; 930.0; ; 1; 1; ;
П-BB8Б2; Профнастил; С8; ; ; 2000.0; 2000.0; ; 1205.0; 0.35; белый 9003; 836.0; ; 1; 1; ;
П-AK1ГЛВ; Профнастил; С8; ; ; 1700.0; 1700.0; ; 1205.0; 0.40; белый 9003; 1096.0; 1096.0; 1; 1; ;
П-AK0ГЛВ; Профнастил; С8; ; ; 1900.0; 1900.0; ; 1205.0; 0.40; белый 9003; 1095.0; 1095.0; 1; 1; ;
П-A9LГЛВ; Профнастил; С8; ; ; 2000.0; 2000.0; ; 1200.0; 0.40; белый 9003; 1289.0; 1284.0; 1; 1; ;
П-AC1ГЛВ; Профнастил; С8; ; ; 2500.0; 2500.0; ; 1200.0; 0.40; белый 9003; 1612.0; 1605.0; 1; 1; ;
